problem_id,problem
378,Max Increase to Keep City Skyline (/problems/max-increase-to-keep-city-skyline), Done
367,Binary Search Tree to Greater Sum Tree (/problems/binary-search-tree-to-greater-sum-tree), Done
116,Encode and Decode TinyURL (/problems/encode-and-decode-tinyurl)
443,Insert into a Binary Search Tree (/problems/insert-into-a-binary-search-tree), Done
521,Maximum Binary Tree (/problems/maximum-binary-tree), Done
550,Construct Binary Search Tree from Preorder Traversal (/problems/construct-binary-search-tree-from-preorder-traversal), Done
19,Partition Labels (/problems/partition-labels), Done
408,All Paths From Source to Target (/problems/all-paths-from-source-to-target)
570,Find and Replace Pattern (/problems/find-and-replace-pattern), Done, get last occurence of each node. Loop all the chars till the current idx not equal to its last index
383,Find K-Length Substrings With No Repeated Characters (/problems/find-k-length-substrings-with-no-repeated-characters)
510,Maximum Level Sum of a Binary Tree (/problems/maximum-level-sum-of-a-binary-tree), Done
475,Path In Zigzag Labelled Binary Tree (/problems/path-in-zigzag-labelled-binary-tree)
424,Find Leaves of Binary Tree (/problems/find-leaves-of-binary-tree), Done, Collect all nodes level by level
545,Distribute Coins in Binary Tree (/problems/distribute-coins-in-binary-tree)
583,Customers Who Bought All Products (/problems/customers-who-bought-all-products)
562,Complex Number Multiplication (/problems/complex-number-multiplication), Done, replace i with j and +- with - and use complex(n) for both numbers and extract real and imaginary coefficient
522,Counting Bits (/problems/counting-bits)
551,Flip Equivalent Binary Trees (/problems/flip-equivalent-binary-trees)
396,Two Sum BSTs (/problems/two-sum-bsts)
421,Web Crawler (/problems/web-crawler)
399,Interval List Intersections (/problems/interval-list-intersections)
507,Custom Sort String (/problems/custom-sort-string)
259,Find All Duplicates in an Array (/problems/find-all-duplicates-in-an-array)
492,Construct Binary Tree from Preorder and Postorder Traversal (/problems/construct-binary-tree-from-preorder-and-postorder-traversal)
449,Search in a Sorted Array of Unknown Size (/problems/search-in-a-sorted-array-of-unknown-size)
355,Wiggle Sort (/problems/wiggle-sort)
422,Maximum Difference Between Node and Ancestor (/problems/maximum-difference-between-node-and-ancestor)
511,Keys and Rooms (/problems/keys-and-rooms)
368,Maximum Average Subtree (/problems/maximum-average-subtree)
281,Queue Reconstruction by Height (/problems/queue-reconstruction-by-height)
549,N-ary Tree Level Order Traversal (/problems/n-ary-tree-level-order-traversal)
4,K Closest Points to Origin (/problems/k-closest-points-to-origin)
291,Daily Temperatures (/problems/daily-temperatures)
256,Minimum Cost to Connect Sticks (/problems/minimum-cost-to-connect-sticks)
94,Design Hit Counter (/problems/design-hit-counter)
83,Max Area of Island (/problems/max-area-of-island)
290,Binary Tree Inorder Traversal (/problems/binary-tree-inorder-traversal)
406,Single Number III (/problems/single-number-iii)
176,Permutations (/problems/permutations)
249,Palindromic Substrings (/problems/palindromic-substrings)
553,Campus Bikes (/problems/campus-bikes)
89,Generate Parentheses (/problems/generate-parentheses)
508,Kill Process (/problems/kill-process)
143,Minimum Cost For Tickets (/problems/minimum-cost-for-tickets)
389,Sort Characters By Frequency (/problems/sort-characters-by-frequency)
214,Single Element in a Sorted Array (/problems/single-element-in-a-sorted-array)
43,Top K Frequent Elements (/problems/top-k-frequent-elements), Done, create a max heap with values (-freq and num) and pop the numbers based on the freq
39,Product of Array Except Self (/problems/product-of-array-except-self)
537,Longest Common Subsequence (/problems/longest-common-subsequence)
331,Plus One Linked List (/problems/plus-one-linked-list)
472,Find Duplicate File in System (/problems/find-duplicate-file-in-system)
97,Zigzag Iterator (/problems/zigzag-iterator)
525,Car Pooling (/problems/car-pooling)
362,Design Log Storage System (/problems/design-log-storage-system)
379,Next Greater Node In Linked List (/problems/next-greater-node-in-linked-list)
98,Subsets (/problems/subsets)
202,Most Frequent Subtree Sum (/problems/most-frequent-subtree-sum)
301,Friend Circles (/problems/friend-circles)
563,Optimal Division (/problems/optimal-division)
420,Complete Binary Tree Inserter (/problems/complete-binary-tree-inserter)
195,Minesweeper (/problems/minesweeper)
539,Max Consecutive Ones III (/problems/max-consecutive-ones-iii)
504,Camelcase Matching (/problems/camelcase-matching)
234,Connecting Cities With Minimum Cost (/problems/connecting-cities-with-minimum-cost)
279,Kth Smallest Element in a BST (/problems/kth-smallest-element-in-a-bst)
425,Redundant Connection (/problems/redundant-connection)
567,Split BST (/problems/split-bst)
169,Number of Connected Components in an Undirected Graph (/problems/number-of-connected-components-in-an-undirected-graph)
112,Number of Distinct Islands (/problems/number-of-distinct-islands)
523,Binary Tree Preorder Traversal (/problems/binary-tree-preorder-traversal)
398,Longest Repeating Substring (/problems/longest-repeating-substring)
411,Missing Element in Sorted Array (/problems/missing-element-in-sorted-array)
581,Uncrossed Lines (/problems/uncrossed-lines)
515,Campus Bikes II (/problems/campus-bikes-ii)
190,Next Greater Element II (/problems/next-greater-element-ii)
34,Integer to Roman (/problems/integer-to-roman)
481,Different Ways to Add Parentheses (/problems/different-ways-to-add-parentheses)
123,Add Two Numbers II (/problems/add-two-numbers-ii)
18,Rotate Image (/problems/rotate-image)
374,Time Based Key-Value Store (/problems/time-based-key-value-store)
174,Combination Sum (/problems/combination-sum)
419,RLE Iterator (/problems/rle-iterator)
499,4Sum II (/problems/4sum-ii)
134,Binary Search Tree Iterator (/problems/binary-search-tree-iterator)
47,Design Tic-Tac-Toe (/problems/design-tic-tac-toe)
500,Minimum Area Rectangle (/problems/minimum-area-rectangle)
219,Find the Duplicate Number (/problems/find-the-duplicate-number)
193,Walls and Gates (/problems/walls-and-gates)
